id,name,type,typecode,lng,lat,pname,cityname,adname,address,biz_status,city,group,pair_id,search_type,search_typecode
B0FFGJLIAZ,阿煌牛肉火锅,餐饮服务;中餐厅;火锅店,050117,116.573012,23.655029,广东省,潮州市,潮安区,古巷镇外环西路枫洋一村泰华幼儿园隔壁,,潮州,control,5,餐饮服务,050000
B0FFGIE50Z,和谐食府阿土海鲜(经典潮州菜),餐饮服务;中餐厅;海鲜酒楼,050119,116.620146,23.640566,广东省,潮州市,潮安区,绿榕南路398号,,潮州,control,5,餐饮服务,050000
B0FFGA9GW7,华姐快餐(新洋店),餐饮服务;快餐厅;快餐厅,050300,116.626539,23.66779,广东省,潮州市,湘桥区,新洋路385号,,潮州,control,5,餐饮服务,050000
B0FFG9SPSU,沙溪潮香牛肉火锅,餐饮服务;中餐厅;火锅店,050117,116.579931,23.521021,广东省,潮州市,潮安区,沙溪镇沙溪二村宝山路洋池片,,潮州,control,5,餐饮服务,050000
B0FFG98C3L,松河竹笋店,餐饮服务;中餐厅;中餐厅,050100,116.663884,23.549894,广东省,潮州市,潮安区,江东镇樟厝洲村镇道南侧(林松河商铺),,潮州,control,5,餐饮服务,050000
B0FFG72IYW,官塘朋友牛肉店(潮州湘桥区),餐饮服务;中餐厅;火锅店,050117,116.706878,23.660903,广东省,潮州市,湘桥区,安黄公路足球场隔壁,,潮州,control,5,餐饮服务,050000
B0FFG2S79X,FENGER枫二酒楼,餐饮服务;中餐厅;潮州菜,050123,116.606677,23.648763,广东省,潮州市,潮安区,新风路陶瓷展览中心斜对面,,潮州,control,5,餐饮服务,050000
B0FFFA4WIP,欢宴潮州菜馆,餐饮服务;中餐厅;潮州菜,050123,116.638236,23.680217,广东省,潮州市,湘桥区,西荣路147号,,潮州,control,5,餐饮服务,050000
B0FFFA4V4E,阿先K岛,餐饮服务;中餐厅;中餐厅,050100,116.639098,23.647899,广东省,潮州市,湘桥区,南春路405号,,潮州,control,5,餐饮服务,050000
B0FFFA4UN3,阿文小炒,餐饮服务;中餐厅;中餐厅,050100,116.639312,23.651588,广东省,潮州市,湘桥区,永春南路阿文小炒,,潮州,control,5,餐饮服务,050000
B0FFF5SZXB,海龙酒家,餐饮服务;中餐厅;中餐厅,050100,116.972604,23.672403,广东省,潮州市,饶平县,黄冈大道西01号,,潮州,control,5,餐饮服务,050000
B0FFF50OEK,牛顺牛肉火锅,餐饮服务;中餐厅;火锅店,050117,116.731818,23.609401,广东省,潮州市,湘桥区,231省道与慧如路交叉口南80米,,潮州,control,5,餐饮服务,050000
B0FFF4XRKC,官塘和友牛肉火锅城,餐饮服务;中餐厅;火锅店,050117,116.738487,23.64226,广东省,潮州市,湘桥区,官塘镇象山村安黄公路陶瓷学院右侧2号铺面,,潮州,control,5,餐饮服务,050000
B0FFF4WX7H,华园酒家(潮州潮安区),餐饮服务;中餐厅;综合酒楼,050101,116.56413,23.622402,广东省,潮州市,潮安区,凤安路西50米,,潮州,control,5,餐饮服务,050000
B0FFF4VMD6,海生源大酒楼,餐饮服务;中餐厅;中餐厅,050100,116.996777,23.65126,广东省,潮州市,饶平县,新港西路与228国道交叉口西北300米,,潮州,control,5,餐饮服务,050000
B0FFF3SBCA,创新潮绵牛肉粿条(凤塘第四分店),餐饮服务;中餐厅;潮州菜,050123,116.574716,23.63161,广东省,潮州市,潮安区,凤塘镇新风路文盛大厦对面创新牛肉,,潮州,control,5,餐饮服务,050000
B03000N189,福海楼食府,餐饮服务;中餐厅;中餐厅|商务住宅;商务住宅相关;商务住宅相关,050100|120000,116.635196,23.507983,广东省,潮州市,潮安区,金石镇金和路与新潮汕公路交界路口直入300米,,潮州,control,5,餐饮服务,050000
B03000MT6X,阳光茶楼,餐饮服务;茶艺馆;茶艺馆,050600,116.682816,23.460125,广东省,潮州市,潮安区,庵埠镇安南路中段2层,,潮州,control,5,餐饮服务,050000
B030000HWI,松发面包屋(西荣路店),餐饮服务;糕饼店;糕饼店,050800,116.637693,23.673615,广东省,潮州市,湘桥区,西园小区西门旁,,潮州,control,5,餐饮服务,050000
B030000WQL,中兴火锅店,餐饮服务;中餐厅;火锅店,050117,117.014466,23.672427,广东省,潮州市,饶平县,324国道(中山公园往东约800米),,潮州,control,5,餐饮服务,050000
B030000FG5,格利潮州菜(联谊大厦店),餐饮服务;中餐厅;海鲜酒楼,050119,116.628636,23.650993,广东省,潮州市,湘桥区,城新西路87号联谊大厦F2层,,潮州,control,5,餐饮服务,050000
B0FFJY36KS,非尝大排档,餐饮服务;餐饮相关场所;餐饮相关,050000,116.930975,23.675625,广东省,潮州市,饶平县,光华天成饲料科技公司西南门旁,,潮州,control,5,餐饮服务,050000
B0FFGA74QL,合家欢农家庄,体育休闲服务;娱乐场所;KTV|体育休闲服务;休闲场所;休闲场所|餐饮服务;餐饮相关场所;餐饮相关,080302|080500|050000,116.992269,23.534493,广东省,潮州市,饶平县,海山镇达南村,,潮州,control,5,餐饮服务,050000
B030000IE0,溪口正宗乌记明鹅肉店,餐饮服务;餐饮相关场所;餐饮相关,050000,116.631089,23.657583,广东省,潮州市,湘桥区,吉春路5号,,潮州,control,5,餐饮服务,050000
B0FFI6N90V,鸡弟鸡煲,餐饮服务;中餐厅;中餐厅,050100,116.638731,23.648369,广东省,潮州市,湘桥区,[],,潮州,control,5,餐饮服务,050000
B0FFGCY7LL,苏粤小龙虾,餐饮服务;中餐厅;中餐厅,050100,116.654961,23.485074,广东省,潮州市,潮安区,彩金路,,潮州,control,5,餐饮服务,050000
B0FFH5SUOF,忠记食坊,餐饮服务;中餐厅;中餐厅,050100,116.63356,23.648462,广东省,潮州市,湘桥区,南较西路与新春路交叉口东北20米,,潮州,control,5,餐饮服务,050000
