,PC1,PC2,PC3
X1: 抖音峰值强度,0.8626392881123303,0.4130315933063768,-0.12247943621946354
X2: 百度峰值强度,0.3882672496957601,0.8154469016125578,-0.17322176958797814
X3: 抖音持续时长,0.6845346168645264,-0.6555527665074924,-0.2866777003803311
X4: 百度持续时长,0.7550267111820194,-0.4674215844883301,0.12477348343417174
X5: 百度资讯有效累积动能,0.9449785294480492,0.06263645103429544,-0.22304891294476797
X6: 抖音总脉冲面积,0.6659007213947689,0.10446848084757342,0.7294208112880557
