日期,淄博,济宁,哈尔滨,长春,开封,安阳,天水,宝鸡,景德镇,潮州
2019-02-23,1.477116,1.6534044,2.7139536,2.207574,1.8174132,1.2051828,0.5808024,0.7960356,0.3198204,0.9840528
2019-02-24,1.6482204,1.9035972,3.1901688,2.5671816,1.9311696,1.3818276,0.5879304,0.8321616,0.3227364,0.8607384
2019-02-25,1.0621692,1.3481964,2.4137028,2.0506608,1.103058,0.9372672,0.4294944,0.6013116,0.2748492,0.6348132
2019-02-26,0.9583272,1.234116,2.293434,1.8432036,0.9694404,0.8638812,0.3623292,0.5176548,0.2557008,0.6079536
2019-02-27,1.1232108,1.4391756,2.6714124,2.1311748,1.0985868,0.9456912,0.4667544,0.5870232,0.2636388,0.6404508
2019-02-28,1.3439844,1.6932888,3.2100624,2.9050488,1.342008,1.1580408,0.5144796,0.7035012,0.3246156,0.6454404
2019-03-01,1.1240856,1.4749452,2.6662284,2.4941196,1.1943612,1.0107828,0.4273884,0.619812,0.2646756,0.5711148
2019-03-02,1.2642804,1.57545,2.8256688,2.7645624,1.5037488,1.2063168,0.4700268,0.7360956,0.2776032,0.6607008
2019-03-03,1.1681172,1.4209344,2.623104,2.741364,1.2894876,1.0869876,0.43497,0.6173172,0.2709612,0.5598396
2019-03-04,1.1227248,1.478574,2.3351004,2.3852232,1.1567772,1.0547496,0.4547664,0.637632,0.2868696,0.496854
2019-03-05,1.0597392,1.3966668,2.062422,1.916298,1.076976,0.9495468,0.4159512,0.5693976,0.2571912,0.4753404
2019-03-06,1.0088712,1.35675,1.9019448,1.7433144,1.0372536,0.8912916,0.3918132,0.5332392,0.2456568,0.451656
2019-03-07,1.0030068,1.363392,1.848096,1.7692992,1.0431828,0.8921664,0.3801492,0.5426352,0.2662956,0.4185756
2019-03-08,1.137078,1.5209208,1.8596628,1.9400796,1.3218876,1.0773972,0.396252,0.7176924,0.30375,0.48357
2019-03-09,1.2294504,1.6373988,2.02014,1.9390428,1.6553484,1.2215772,0.4367196,0.8172576,0.3522528,0.5199552
2023-01-04,0.9531432,1.4754636,1.8552888,1.7966448,1.328238,1.1549304,0.504306,0.6347484,0.4612464,0.5259168
2023-01-05,0.9611136,1.4782824,1.9011024,1.795446,1.345572,1.1419704,0.520506,0.672462,0.4671432,0.5513508
2023-01-06,1.0189152,1.588572,2.0277864,1.9194732,1.4522328,1.2610728,0.5581224,0.7428672,0.5015196,0.6061392
2023-01-07,1.178064,1.8779688,2.0628108,1.926018,1.871748,1.4741028,0.6265188,0.9692136,0.6072408,0.7283196
2023-01-08,1.1507184,1.7857584,2.0810196,2.026944,1.8855504,1.3720428,0.6037092,0.8493984,0.6261624,0.6806916
