日期,城市,省内来源占比(%),省外来源占比(%),TOP来源数,省内绝对值,省外绝对值,总计
20250615,潮州,84.25,15.75,100,82.65,15.45,98.1
20250701,潮州,76.17,23.83,100,74.33,23.25,97.58
20250715,潮州,77.72,22.28,100,75.99,21.79,97.78
20250801,潮州,79.15,20.85,100,77.62,20.45,98.07
20250815,潮州,76.34,23.66,100,74.9,23.21,98.11
20250901,潮州,80.94,19.06,100,79.39,18.7,98.09
20250915,潮州,82.89,17.11,100,81.26,16.77,98.03
20251001,潮州,84.49,15.51,100,83.48,15.33,98.81
20251015,潮州,80.51,19.49,100,78.59,19.03,97.62
20251101,潮州,83.28,16.72,100,81.86,16.43,98.29
20251115,潮州,81.74,18.26,100,80.44,17.97,98.41
20251201,潮州,82.47,17.53,100,80.9,17.2,98.1
20251215,潮州,82.31,17.69,100,80.65,17.33,97.98
